Trước tiên nói về thái độ phục vụ của nhân viên tgdđ là quá ok rồi.mới dùng máy được 1 tuần thấy khá ok chì mỗi tội hay tự động nhảy lọc ánh sáng xanh trong khi không dùng tới	Service	1	1
Máy dùng quá ngon, camera chụp ảnh rất đẹp, cấu hình cao cân mọi thể loại game, màn OLED dù chỉ full HD+ nhưng vẫn hiển thị cực sắc nét xem phim bao phê, mặc dù điểm yếu của e nó là ko có google nhưng mình thấy ko ảnh hưởng gì vì nếu muốn vẫn có thể cài được dịch vụ của google vào máy, pin thì nếu mà chơi game liên tục thì được tầm 5-6 tiếng.	Electronics	1	0
Vải mịn nên mặc lâu vẫn thấy dễ chịu. Bù_lại, Voucher nghèo nên cảm_giác không hời.	Fashion	1	1
Từ khi cập nhật phần mềm thì chậm như rùa bò không thể chơi được game. Còn Khá ổn nhân viên nhiệt tình tư vấn	Service	1	1
Đường_may gọn nên tổng thể nhìn khá chỉn_chu. Tuy_nhiên, Phí_ship đắt làm mình chùn tay.	Fashion	1	1
bộ này vải hơi mỏg lại thêm màu trắg xanh nên mặc hơi lộ nhưg tầm giá này thì cx là ok rồi	Price	1	1
Máy sử dụng rất tốt. Với giá tiền này là quá ok.Máy chạy cực mượt với các ứng dụng Google Go, Zalo, Facebook, Web thoải máy. Phù hợp với nhu cầu cơ bản. Chỉ có chuột máy với độ phân giải chưa cao thôi, nhưng với mức giá tiền này thì tốt rồi.	Electronics	1	0
shop cực dễ_thương	Service	1	1
Cá_nhân mik thì mik thấy app này khá tiện_lợi và rất đa_dạng vật_dụng. Tuy nhiên, Tiki giá đắt ae ạ đặt_hàng 50 k lên tận 400 k tiki kiểu j đấy bịp à	App	1	1
Với tầm giá này redmi note 9S quá OK,cấu hình ổn,camera ổn,loa ổn,củ_sạc quá OK,nhân viên tư vấn nhiệt tình,vui vẻ.Cám Ơn TGDD.	Service	1	1
chỉ có_điều màu ga giường và mặt dưới của chăn màu không như hình	General	1	0
cáp_sạc free size nên ai khung ng to mặc không đẹp lắm	Electronics	0	1
Vải mịn nên mặc lâu vẫn thấy dễ chịu mà giá_tiền như vậy là chưa đáng.	Fashion	1	1
quá nhiều quảng_cáo dùng app khác quảng_cáo đều nhảy qua lazada	App	0	0
app hai quá hay quá đặt_hàng 2 3 tiếng là giao rồi	App	1	1
app hai quá hay quá đặt_hàng 2 3 tiếng là giao rồi	Ship	1	1
Máy khá mượt. Chơi game lâu lâu bị lag. Pin mau tụt. Camera không đẹp lắm. Máy ít nóng. Chip Snapdragon 660 nhưng không thể hiện tốt. Bắt wf hơi kém xíu. NV phục vụ nhiệt tình chỉ đáo.	Service	1	1
cảm_ơn shop . chắc_chắn sẽ quay lại lần nữa	Service	1	1
đảm_bảo i hình luon	General	1	1
sóng căng vứt	Electronics	1	1
Bàn_phím gõ êm và độ nảy khá tốt. Trái_lại, Nhân_viên nói chuyện khó chịu nên mình ngại hỏi thêm.	Electronics	1	1
mua tiện_lợi giá hợp_lý	Price	1	1
Mới mua máy đc 3 ngày à máy camera thì hơi tệ đặc biệt cm trước chụp xấu à pin xài trâu sạc tầm hơn 1 tiếng chơi game lq thì vào game hơi chậm nếu chơi 4g thì vào xong phải đợi một tý cho mạng nó ổn định thì mới chơi đc còn ko thì nó cứ đỏ lòm à chơi game ko nóng may lắm tạm đc nhưng ra vào app hơi lâu có lúc lag bắt sóng wifi kiếm cực luôn đứng trong phòng thì gần cục sóng wifi bthuong ra trước cửa phòng thì thôi đc 1 cục à trong khi phòng xa wifi chưa đc 10m 4g chơi game còn tốc độ cao thì ko sao hết thì lag lúc vào trận combat thì fps ổn định ko lag,nhân viên phục vụ nhiệt tình thân thiện	Service	1	1
nhưng ngăn_kéo khóa ít	Electronics	0	1
Củ_sạc đi kèm dùng ổn và vào điện nhanh. Bù_lại, Phục_vụ lạnh_nhạt nên trải_nghiệm rất tụt mood.	Service	0	0
Form may rộng thùng_thình nên nhìn rất dừ. Bù_lại, Tầm_giá này mua khá hời.	Price	1	1
phần_mềm mua_sắm tiện_lợi uy_tín mọi người nên tải về sử_dụng	App	1	1
app tối 99	App	1	1
Đã mua tại thế giới di động thị xã An Khê gia Lai...qua 48h sử dụng cảm nhận máy rất đẹp mượt mà hợp cho mình làm vlog camera chụp hình quay video rất đẹp.. nhân viên rất nhiệt tình và dễ thương...pin rất trâu nha mọi người...sau này sẽ bình luận tiếp nha.. quá đẹp và sang trọng..	Electronics	1	1
bị khóa tài_khoản lần đầu dùng ứng_dụng	App	0	0
chơi game khá mượt (điều mình thích nhất ở vivo y11) , hình ảnh camera thì không bằng samsung galaxy j7 prime mặc dù đều là 13 mega pixel và 8 mega pixel, với những app nước ngoài như naver thì xử lí khá chậm còn lại mọi thứ khá ổn so với giá thành, ah còn dung lượng hệ thống quá nhiều, 32G chỉ khả dụng gần 20G, xem như tạm ổn.	App	0	0
Nhân viên nhiệt tình nhưg bên bán trả góp FE với Home Credit làm ăn k hiểu nổi... ng ta góp mỗi thág đàg hoàng k thiếu 1ngàn nhưg lúc mua góp lại k duyệt hồ sơ... dở tệ... nhan vien tgdd thi ok	Service	1	1
Sản phẩm qua gọn trong tầm giá pin châu câu hịnh gọn . Rất hài lòng ae nào chiến gmae thiua nhẹ đất ok đã trại ghiep hơn 1t	Electronics	1	1
áo như hình tuy thời_gian giao hành lâu nhưng không sao	Fashion	1	1
Phục vụ tận tình, chu đáo, bàn_phím dùng tốt, thêm chương trình giảm giá nữa quá tuyệt vời. Phải vào đánh giá ngay	Service	1	1
nhưng với giá chỉ 55k như_vậy thì là khá ok ạ mình áp thêm code giảm_giá	Price	0	1
rất nhiều voucher nếu cho tôi đánh_giá thì tôi sẽ đánh_giá 10	Price	1	1
Vải mịn nên mặc lâu vẫn thấy dễ chịu; còn giá hơi chát so với kỳ_vọng.	Fashion	1	1
Nhiều lúc đang vào vẫn bị văng ra..hơi đơ đơ tí, mặc dù tải ít ứng dụng grap goviet zing mp3 shoppe thôi..pin cũng không trâu lắm đâu	App	0	1
Quần bị chật phần hông nên đi lại khó; còn voucher nhiều nên tổng tiền xuống khá đẹp.	Price	1	1
Vải mịn nên mặc lâu vẫn thấy dễ chịu nhưng phí_ship cao nên tổng đơn bị chát.	Fashion	1	1
shop chắc_chắn có nên mới đặt	Service	1	0
Cá_nhân mik thì mik thấy app này khá tiện_lợi và rất đa_dạng vật_dụng nhưng nói chung là bèo trong tầm giá máy cao cấp	App	1	0
mình mua sản_phẩm còn được shop tặng thêm món quà nhỏ rất dễ_thương	General	1	1
mình mua sản_phẩm còn được shop tặng thêm món quà nhỏ rất dễ_thương	Service	1	1
Đã có bản cập nhật mới fix các lổi camera trước zoom bị tím màn hình, pin và camera cải thiện rõ rệt, hiệu năng tăng. Rất đáng đồng tiền. Trừ khi bạn mua sách tay hay hàng củ. Còn mua chính hãng mà thích spen thì mua con này là nhất	App	1	1
sài messenger bị giật giật.mong phan hoi từ nhan vien.mang rat manh và ko co ứng dụng ngầm mà vẫn giật	App	0	0
tặng toii thêm vài cái voucher nx đi	Price	1	1
áo chất cứng	Fashion	0	1
áo đôi có size tại_sao shop không phân_loại để khách chọn	Fashion	1	0
nhưng áo bị bung chỉ nhiều	Fashion	0	1
form rất to lùng_bùng như trùm cái mền	Fashion	0	1
Vừa mua hôm qua ở tgdd. Nhân viên rất nhiệt tình. Chơi game khá tốt nhưng có đều cáp_sạc tuột hơi nhanh	Service	1	1
Wifi bắt ổn nên xem video không bị đứt; còn shop phản_hồi chậm nên mình đợi khá mệt.	Electronics	1	1
có báo làm_việc lại nhưnh chưa thấy chốt lại giao bổ_sung hay sao cả	Ship	0	1
Sản phẩm tốt phục vụ chu đáo  Mà a cho em hỏi máy này có hỗ trợ xạc không dây không anh	Electronics	1	0
Sóng sánh kém lắm,giữa đất thị trấn mà chỉ đc 2-3 vạch. Wifi vào phòng trong cách khoảng 5m mà bắt đc 3 vạch. Đã gửi đi hãng thẩm định. Pin qua đêm tắt hết ứng dụng,mạng mà sáng dậy tụt 12%. Chơi liên quân đôi khi vẫn bị khựng lại chút.đc cái màn nét.	Electronics	0	1
Sóng sánh kém lắm,giữa đất thị trấn mà chỉ đc 2-3 vạch. Wifi vào phòng trong cách khoảng 5m mà bắt đc 3 vạch. Đã gửi đi hãng thẩm định. Pin qua đêm tắt hết ứng dụng,mạng mà sáng dậy tụt 12%. Chơi liên quân đôi khi vẫn bị khựng lại chút.đc cái màn nét.	App	0	1
